# Time-dependent hole occupations (neutral MO basis) for MO indices: [0, 1, 2, 3, 4, 5, 6, 7, 8]

Timestamps (au),MO index 0,MO index 1,MO index 2,MO index 3,MO index 4,MO index 5,MO index 6,MO index 7,MO index 8
0.0,1.9983340952711963,4.106869714082251e-06,0.0028978705535385174,0.0007449439556923565,0.0022643849034504893,0.0022643849034511554,0.0008867705217134869,-0.0022643849034522947,-0.002264384903452297
0.05,1.9953549836069806,1.5338072044901452e-05,0.01009361075615045,0.0023668585213707516,0.00903019309980313,0.00903019309980424,0.0035340378220500845,-0.009030193099805326,-0.009030193099805371
0.1,1.9946039067173607,3.071802609033725e-05,0.01892069213059444,0.0038169978490394385,0.020201339388044026,0.020201339388044914,0.007895688664396161,-0.020201339388046136,-0.020201339388046184
0.15,1.9969514824204018,4.618494559682773e-05,0.028585670508497252,0.004890140276789801,0.03559449335116671,0.03559449335116849,0.013884116213517927,-0.03559449335116947,-0.03559449335116959
0.2,1.9996287633907117,5.766848768917754e-05,0.040847736907192234,0.006439408187790541,0.054954779544677645,0.054954779544679866,0.02137849766274913,-0.05495477954468041,-0.05495477954468063
0.25,1.999407948989647,6.213885882866421e-05,0.05771412083226979,0.009320299292654433,0.07799486523842214,0.07799486523842436,0.03024378209121048,-0.077994865238425,-0.07799486523842519
0.3,1.9965471691596606,5.837805330832779e-05,0.07864179597399379,0.013268180108326977,0.10441174456824065,0.10441174456824309,0.04033616207993651,-0.10441174456824362,-0.10441174456824395
0.35,1.994463580728863,4.731980196348573e-05,0.10082070493172157,0.017209187323778075,0.13386480512197085,0.13386480512197352,0.05149124257361737,-0.1338648051219738,-0.13386480512197416
0.4,1.995582470736003,3.186146494149611e-05,0.12215308571429384,0.02056612354993237,0.16595081300725534,0.16595081300725822,0.06351580870162832,-0.16595081300725847,-0.165950813007259
0.45,1.9985856304440859,1.615325466230999e-05,0.14317742365561736,0.02387954018607541,0.20022700257789072,0.2002270025778936,0.07620258012926961,-0.2002270025778936,-0.20022700257789422
0.5,1.9998952138206934,4.526508337487911e-06,0.16599218191260245,0.028117193015175568,0.2362764418562886,0.23627644185629126,0.08935860408363494,-0.2362764418562911,-0.23627644185629187
0.55,1.9979271823172406,3.192901503190626e-07,0.1913198010601822,0.033419478476767406,0.2737384834115657,0.2737384834115679,0.10281479928081838,-0.2737384834115679,-0.27373848341156887
0.6,1.99503221236589,4.898649460738369e-06,0.2171834347898205,0.03888026968865255,0.3122776094180635,0.31227760941806637,0.11640925699255078,-0.31227760941806604,-0.31227760941806704
0.65,1.9945997762165855,1.7200851909482395e-05,0.2408941958805162,0.04365515495973771,0.35153233376280335,0.351532333762806,0.12997097630108856,-0.3515323337628057,-0.3515323337628068
0.7,1.9971065797963041,3.399798646075425e-05,0.26176972365602436,0.047916769405340176,0.39111469482959516,0.3911146948295974,0.1433278992798912,-0.39111469482959715,-0.3911146948295984
0.75,1.9996080208117089,5.0809580390609455e-05,0.2814970017422991,0.052594940845109406,0.43068218210204057,0.4306821821020428,0.15633404593777134,-0.43068218210204223,-0.43068218210204345
0.8,1.9991328430415025,6.314195671386358e-05,0.30189923361663684,0.0582124478920254,0.4699917496708452,0.46999174967084745,0.16888539009716386,-0.4699917496708466,-0.46999174967084795
0.85,1.9962569068841456,6.770732852068306e-05,0.3225132035599203,0.0641945633133929,0.5088772327807973,0.5088772327807991,0.1809074162087212,-0.5088772327807984,-0.5088772327807997
0.9,1.9943641396761087,6.331245671131747e-05,0.34094059846744873,0.06957518455834277,0.5471757992831878,0.5471757992831896,0.19233045116669434,-0.547175799283189,-0.5471757992831903
0.95,1.9956179427990113,5.116083041967201e-05,0.355480640377988,0.07414105585232011,0.5846887527326401,0.5846887527326414,0.20307979306902002,-0.5846887527326408,-0.5846887527326421
1.0,1.9985504883998115,3.449121758491991e-05,0.36684261523027617,0.07863212871835024,0.6212258400539756,0.6212258400539765,0.2130915027314053,-0.621225840053976,-0.6212258400539774
1.05,1.9997343708171165,1.7699783553926096e-05,0.377234584583098,0.08384630060410325,0.6566779568853871,0.6566779568853884,0.2223340853198701,-0.6566779568853875,-0.6566779568853891
1.1,1.9978016396532552,5.1715147693087715e-06,0.38776030989841415,0.08963933782801137,0.6910285638565687,0.6910285638565701,0.23080800244861455,-0.6910285638565692,-0.691028563856571
1.15,1.9950506967033055,6.498632743046073e-08,0.3970991498354062,0.09509516986070632,0.7242856167702822,0.7242856167702829,0.23852668177432657,-0.7242856167702821,-0.7242856167702842
1.2,1.9946570313012912,3.3995141588416544e-06,0.4030652319320225,0.09964498843028369,0.75641268497735,0.7564126849773505,0.24549639527379696,-0.7564126849773491,-0.7564126849773514
1.25,1.9970403618007886,1.3797930519476864e-05,0.4050682189096362,0.10371183922940408,0.7873355217121256,0.7873355217121265,0.25171581287911415,-0.787335521712125,-0.7873355217121274
1.3,1.9994481903651238,2.7966862470307774e-05,0.4047557133324591,0.10820173701362057,0.8170121110934341,0.8170121110934341,0.25719663491397515,-0.8170121110934327,-0.8170121110934354
1.35,1.9991048688600461,4.169543502330342e-05,0.4042316597118518,0.11341426873335414,0.8454807582153121,0.8454807582153121,0.2619757033182972,-0.8454807582153103,-0.845480758215313
1.4,1.9964717429981809,5.106444454394676e-05,0.4036994883920302,0.11866093182575188,0.8728282632177344,0.872828263217734,0.26610665274850187,-0.8728282632177322,-0.872828263217735
1.45,1.9946311505218932,5.354368160759293e-05,0.40133005824570267,0.12311534385203515,0.8991142065240365,0.8991142065240356,0.26964083398485617,-0.8991142065240337,-0.8991142065240365
1.5,1.9956602473680207,4.8634980533757144e-05,0.39545173040152504,0.12680104389368352,0.9243377695463764,0.9243377695463755,0.27261408327371717,-0.9243377695463736,-0.9243377695463764
1.55,1.9983613223957108,3.787318760783975e-05,0.3864526896379672,0.13054838109042466,0.9484787878591101,0.948478787859109,0.27505616100033947,-0.9484787878591072,-0.94847878785911
1.6,1.9996394750127169,2.4288752076273568e-05,0.37646305708406524,0.13502667924574796,0.9715601666541169,0.9715601666541154,0.27700839467844673,-0.9715601666541134,-0.9715601666541165
1.65,1.9980788137879362,1.1556467317763719e-05,0.3670714694842303,0.1399219445474318,0.993657914673161,0.9936579146731592,0.2785271668388185,-0.993657914673157,-0.9936579146731601
1.7,1.9955645435102298,2.9990914121036383e-06,0.3576128519401389,0.1443147309932642,1.0148473375045164,1.014847337504514,0.27967431983637847,-1.0148473375045115,-1.014847337504515
1.75,1.9949859188356662,6.636897396106178e-07,0.3460837318476062,0.14780377483125484,1.0351497757141332,1.0351497757141306,0.28050311117790705,-1.0351497757141281,-1.0351497757141321
1.8,1.9969575178386378,4.786699752790113e-06,0.33150258860586757,0.15097003387453256,1.0545382744317788,1.0545382744317757,0.28105672284067573,-1.0545382744317733,-1.0545382744317773
1.85,1.9992217935162697,1.3825217458629524e-05,0.3150909849902581,0.1546994234093022,1.0729891453525813,1.0729891453525782,0.28138145675208137,-1.072989145352576,-1.0729891453525804
1.9,1.9992184497022694,2.4969572663291473e-05,0.2990914973907781,0.15912328114812713,1.090519722401541,1.0905197224015373,0.2815328625083522,-1.090519722401535,-1.090519722401539
1.95,1.9970487086466828,3.49638263639207e-05,0.2843512005264932,0.16343213618601227,1.1071707696065134,1.1071707696065092,0.2815722572795827,-1.1071707696065074,-1.107170769606511
2.0,1.9952688941281262,4.105023603839797e-05,0.26950677722413374,0.16686050053012136,1.1229577943616864,1.1229577943616817,0.2815578850363769,-1.1229577943616802,-1.1229577943616835
2.05,1.9958700140624883,4.1742240840303424e-05,0.2527191017082888,0.16960314572646418,1.13784950710617,1.1378495071061652,0.28153921940944615,-1.1378495071061634,-1.1378495071061672
2.1,1.9981259263424933,3.712828410185054e-05,0.23384482349192703,0.1725730081218675,1.1517937957440934,1.1517937957440882,0.2815648560132398,-1.1517937957440867,-1.1517937957440902
2.15,1.9994740175008896,2.867772649350897e-05,0.21477784186464755,0.17632532091542608,1.164756114302972,1.1647561143029668,0.28168702131837486,-1.1647561143029654,-1.1647561143029685
2.2,1.9984443987142215,1.8744792284142164e-05,0.19752484335214726,0.18035764711548863,1.17672797814693,1.1767279781469235,0.2819565863174187,-1.1767279781469226,-1.1767279781469258
2.25,1.99631923499905,9.916888966454707e-06,0.18206647091393502,0.1837000249006011,1.1876999980601854,1.1876999980601781,0.2824192870465203,-1.1876999980601775,-1.1876999980601808
2.3,1.9955370325898016,4.30838673537437e-06,0.1665894883526744,0.1860881840504669,1.197634867243802,1.1976348672437944,0.2831134974157994,-1.197634867243794,-1.197634867243797
2.35,1.9969158338082649,3.0150449052968042e-06,0.14973298478979746,0.18826100502513654,1.2064713069296142,1.2064713069296065,0.2840781658667817,-1.2064713069296056,-1.2064713069296091
2.4,1.998862908660914,5.925176839172153e-06,0.13225473372737806,0.19107904016168464,1.2141510289078001,1.2141510289077917,0.2853597326753481,-1.2141510289077913,-1.214151028907795
2.45,1.999197631242913,1.1862404233786705e-05,0.11642296729025192,0.19447270687492457,1.2206354679184912,1.2206354679184825,0.2869997754642828,-1.2206354679184817,-1.2206354679184854
2.5,1.9976305419984002,1.8948657602102514e-05,0.10361129953020032,0.19749148342548972,1.2258967244322327,1.2258967244322236,0.28902491756922055,-1.2258967244322228,-1.2258967244322263
2.55,1.9960104165181496,2.5148473330016685e-05,0.09288388732262898,0.199447016100337,1.2299001923430908,1.2299001923430812,0.2914467160394483,-1.229900192343081,-1.2299001923430843
2.6,1.996126641010625,2.8875282123808077e-05,0.08227184064012505,0.20073057668251693,1.2326012867730958,1.2326012867730858,0.2942724225832887,-1.2326012867730858,-1.232601286773089
2.65,1.9977750073827756,2.9389268052071316e-05,0.07113101403577637,0.20232811682162155,1.233959295719884,1.2339592957198733,0.2975235491379282,-1.233959295719873,-1.2339592957198766
2.7,1.9990887839829334,2.6849423691022167e-05,0.060996634315752196,0.2046380449419698,1.2339483185474416,1.2339483185474303,0.30122634148079186,-1.2339483185474305,-1.233948318547434
2.75,1.998634647980217,2.2146361161379247e-05,0.05401421924378447,0.20695742032826336,1.2325516034921007,1.232551603492089,0.30538759661110126,-1.2325516034920887,-1.2325516034920923
2.8,1.996996392349705,1.6629711646842793e-05,0.050545554183535124,0.2083266046937302,1.2297503830805165,1.2297503830805043,0.30998777507055086,-1.2297503830805043,-1.2297503830805079
2.85,1.9960247608475545,1.1721558492938655e-05,0.04883904907348269,0.2086833630393432,1.225524954721976,1.2255249547219633,0.3149912706427618,-1.2255249547219633,-1.2255249547219673
2.9,1.996732065022662,8.511918581977085e-06,0.04711833136824106,0.20891854671894827,1.2198686756568258,1.2198686756568127,0.32037622987684067,-1.2198686756568127,-1.2198686756568171
2.95,1.9982767417307628,7.532210367866554e-06,0.04557934873769032,0.20980681814791557,1.2127951488780175,1.2127951488780042,0.32614555703505754,-1.212795148878004,-1.2127951488780093
3.0,1.9989433929675813,8.726476531606409e-06,0.046195033688351206,0.21106119339561946,1.2043260250781072,1.204326025078093,0.3322956619932502,-1.204326025078093,-1.204326025078098
3.05,1.9980242550904106,1.1507957138778835e-05,0.050453472866424764,0.2116662560371827,1.1944740241684535,1.1944740241684388,0.33879200420866407,-1.1944740241684397,-1.1944740241684442
3.1,1.996565505137067,1.4925967299017628e-05,0.057570519030659906,0.21111202136500973,1.1832439321691732,1.183243932169158,0.3455721149839177,-1.1832439321691592,-1.1832439321691637
3.15,1.9961516500825436,1.7994139393628927e-05,0.0653453607117962,0.2099939058680509,1.1706543958262188,1.1706543958262026,0.35257510901834954,-1.1706543958262041,-1.1706543958262086
3.2,1.997173893572374,2.0005361926589416e-05,0.07257867213899072,0.20928973824065178,1.1567541013839535,1.1567541013839369,0.35977602074753623,-1.156754101383938,-1.1567541013839426
3.25,1.9984807070282973,2.063760452442054e-05,0.08028142139963368,0.20919285572646507,1.1416075662450242,1.1416075662450067,0.3671713897826945,-1.1416075662450087,-1.141607566245013
3.3,1.998629502925786,1.9925968179457243e-05,0.09041737057624033,0.20887517131449318,1.125263039766391,1.1252630397663728,0.3747387651512646,-1.125263039766375,-1.1252630397663792
3.35,1.9974496223046585,1.822835637432796e-05,0.10349374885203222,0.20749994753677603,1.1077397161710028,1.1077397161709837,0.38242328421381844,-1.1077397161709865,-1.1077397161709905
3.4,1.9962265402020838,1.6112894960063073e-05,0.1178091014367344,0.20523383022625508,1.0890533099802404,1.089053309980221,0.3901561631913213,-1.0890533099802235,-1.0890533099802275
3.45,1.9962660917790653,1.4138751044834308e-05,0.13125392109435152,0.203038147275292,1.0692527429016927,1.069252742901673,0.3978941229635429,-1.0692527429016758,-1.0692527429016794
3.5,1.9974913312487153,1.2704150956333038e-05,0.1435033988529797,0.20152405082433278,1.0484212132472661,1.048421213247246,0.4056321634509459,-1.0484212132472486,-1.0484212132472526
3.55,1.9985442188244538,1.2029177521633017e-05,0.15618125299459296,0.20022914207252818,1.026636239805979,1.0266362398059576,0.41336842802550544,-1.0266362398059612,-1.0266362398059647
3.6,1.9982303403621318,1.2129951373118786e-05,0.17083916637318897,0.19818395030536218,1.0039313634456104,1.0039313634455884,0.4210779593564653,-1.0039313634455922,-1.003931363445596
3.65,1.9968580668968532,1.2780185739691419e-05,0.18698019624743134,0.19509374173103433,0.9803070890023737,0.9803070890023511,0.42871633672480547,-0.9803070890023555,-0.9803070890023593
3.7,1.9959187406819028,1.3626122808751973e-05,0.20245202019283637,0.1916914264762879,0.9557829793001633,0.95578297930014,0.43624467129152755,-0.9557829793001442,-0.955782979300148
3.75,1.9964272925985522,1.4398561570150292e-05,0.2157265495389833,0.18886124217561617,0.9304284191161925,0.9304284191161685,0.4436548676319627,-0.9304284191161729,-0.9304284191161767
3.8,1.9978170851308725,1.4984041271315363e-05,0.22741894688245945,0.1865971529874435,0.9043327045510172,0.9043327045509924,0.4509582588042238,-0.904332704550997,-0.904332704551001
3.85,1.9985232508654391,1.5363211963936863e-05,0.23942163273819062,0.1840256064868777,0.877545850235601,0.8775458502355757,0.4581622345933902,-0.8775458502355806,-0.8775458502355844
3.9,1.997706104771493,1.5595088723729944e-05,0.25259265198403025,0.18047578836454647,0.8500594486490387,0.850059448649013,0.4652644936558956,-0.8500594486490178,-0.8500594486490216
3.95,1.996241715029665,1.5806447567490167e-05,0.26561443239469984,0.1763004132539323,0.8218545346505743,0.8218545346505475,0.47225684230115195,-0.821854534650553,-0.8218545346505564
4.0,1.9957515295246184,1.607368988798541e-05,0.27636416919195095,0.17245799155901942,0.7929630871401758,0.7929630871401485,0.4791363248647116,-0.7929630871401544,-0.7929630871401575
4.05,1.9967831570063446,1.633565156566874e-05,0.28417963240076594,0.16937840694067008,0.7634702279476602,0.7634702279476326,0.48590976400370733,-0.7634702279476387,-0.7634702279476417
4.1,1.9981846928704923,1.6472387821542256e-05,0.2904630948547866,0.16646800613222323,0.7334538322480189,0.7334538322479909,0.4925901154801342,-0.7334538322479969,-0.7334538322480002
4.15,1.998346123272829,1.638763148537059e-05,0.29699371463937396,0.16283975109772575,0.70293209813312,0.7029320981330911,0.49920053094913275,-0.7029320981330975,-0.7029320981331009
4.2,1.9970460551977607,1.5972781119089063e-05,0.3037919066222716,0.15840074908531498,0.6718831901900844,0.6718831901900548,0.5057678651597757,-0.6718831901900617,-0.6718831901900649
4.25,1.9957418015531165,1.5127685798033141e-05,0.3090006065464652,0.15397926695357667,0.6403176853411501,0.6403176853411203,0.5123070190306462,-0.640317685341127,-0.6403176853411303
4.3,1.9959088194280803,1.3913019784483893e-05,0.31093255219622296,0.15033967849850915,0.6083184427854706,0.60831844278544,0.5188164026970283,-0.6083184427854471,-0.6083184427854502
4.35,1.9973742146326698,1.2609876678393306e-05,0.30990684043647443,0.14728211143429237,0.5760015602072084,0.5760015602071773,0.5252911256846335,-0.5760015602071846,-0.5760015602071877
4.4,1.9984773153683821,1.1599306691367772e-05,0.307847624981749,0.14390027529134253,0.5434454809291385,0.5434454809291069,0.5317521789840911,-0.5434454809291147,-0.5434454809291176
4.45,1.9979410047809771,1.1249534228596758e-05,0.3060736569722877,0.1396910145154986,0.5106723074135273,0.5106723074134951,0.5382515183772041,-0.5106723074135031,-0.5106723074135061
