# uniform Lorentzian, HWHM 0.15 eV, area of each line = oscillator strength
energy_eV	wavelength_nm	intensity
1.871436	662.5084	1.78989669e-02
1.873687	661.7125	1.79517994e-02
1.875938	660.9184	1.80049135e-02
1.878189	660.1263	1.80583114e-02
1.880440	659.3360	1.81119952e-02
1.882691	658.5476	1.81659672e-02
1.884942	657.7612	1.82202296e-02
1.887194	656.9765	1.82747846e-02
1.889445	656.1938	1.83296345e-02
1.891696	655.4129	1.83847815e-02
1.893947	654.6339	1.84402279e-02
1.896198	653.8568	1.84959761e-02
1.898449	653.0814	1.85520285e-02
1.900700	652.3079	1.86083874e-02
1.902951	651.5363	1.86650551e-02
1.905203	650.7664	1.87220342e-02
1.907454	649.9984	1.87793271e-02
1.909705	649.2322	1.88369362e-02
1.911956	648.4678	1.88948640e-02
1.914207	647.7052	1.89531130e-02
1.916458	646.9444	1.90116859e-02
1.918709	646.1854	1.90705851e-02
1.920960	645.4281	1.91298133e-02
1.923212	644.6727	1.91893731e-02
1.925463	643.9189	1.92492671e-02
1.927714	643.1670	1.93094980e-02
1.929965	642.4168	1.93700685e-02
1.932216	641.6684	1.94309814e-02
1.934467	640.9216	1.94922394e-02
1.936718	640.1767	1.95538453e-02
1.938969	639.4334	1.96158019e-02
1.941221	638.6919	1.96781120e-02
1.943472	637.9521	1.97407786e-02
1.945723	637.2140	1.98038046e-02
1.947974	636.4777	1.98671928e-02
1.950225	635.7430	1.99309462e-02
1.952476	635.0100	1.99950679e-02
1.954727	634.2787	2.00595608e-02
1.956978	633.5491	2.01244281e-02
1.959230	632.8211	2.01896727e-02
1.961481	632.0949	2.02552980e-02
1.963732	631.3703	2.03213069e-02
1.965983	630.6473	2.03877027e-02
1.968234	629.9260	2.04544886e-02
1.970485	629.2064	2.05216678e-02
1.972736	628.4884	2.05892438e-02
1.974987	627.7720	2.06572197e-02
1.977239	627.0573	2.07255990e-02
1.979490	626.3442	2.07943850e-02
1.981741	625.6327	2.08635812e-02
1.983992	624.9228	2.09331911e-02
