root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.540700	273.0508	0.00000000e+00	yes
2	singlet	7.963000	155.7004	8.32222410e-03	yes
3	singlet	8.736500	141.9152	0.00000000e+00	yes
4	singlet	8.818200	140.6003	2.83416480e-03	yes
5	singlet	8.994500	137.8445	3.64403536e-02	yes
6	singlet	9.034000	137.2417	7.80654952e-02	yes
7	singlet	9.330900	132.8748	3.00000000e-10	yes
8	singlet	9.411000	131.7439	2.47737242e-02	yes
9	singlet	9.523100	130.1931	6.36480105e-02	yes
10	singlet	9.701600	127.7977	0.00000000e+00	yes
11	singlet	10.197100	121.5877	1.00000000e-10	no
12	singlet	10.349400	119.7984	7.42628780e-03	no
13	singlet	10.358500	119.6932	6.88105790e-03	no
14	singlet	10.496700	118.1173	1.04493389e-02	no
15	singlet	10.525800	117.7908	5.40755018e-02	no
16	singlet	10.634900	116.5824	1.82518907e-02	no
17	singlet	10.739500	115.4469	1.68334379e-01	no
18	singlet	10.892300	113.8274	7.63089400e-03	no
19	singlet	10.897300	113.7751	7.75638200e-04	no
20	singlet	10.998800	112.7252	3.53327621e-02	no
21	singlet	11.090700	111.7911	3.67832350e-03	no
22	singlet	11.207400	110.6271	5.78553000e-05	no
23	singlet	11.227200	110.4320	2.00000000e-10	no
24	singlet	11.246200	110.2454	2.05089427e-01	no
25	singlet	11.375700	108.9904	1.00000000e-10	no
26	singlet	11.513800	107.6831	1.72797400e-01	no
27	singlet	11.599800	106.8848	3.00280848e-02	no
28	singlet	11.709100	105.8870	1.28875414e-02	no
29	singlet	11.789500	105.1649	7.56635049e-02	no
30	singlet	11.854000	104.5927	4.95469100e-04	no
