diameter_nm	wavelength_nm	qabs	cabs_nm2
35.0	353.0	7.66849365e-01	7.37795551e+02
35.0	353.5	7.75225295e-01	7.45854140e+02
35.0	354.0	7.83814048e-01	7.54117490e+02
35.0	354.5	7.92621228e-01	7.62590989e+02
35.0	355.0	8.01652652e-01	7.71280238e+02
35.0	355.5	8.10914368e-01	7.80191053e+02
35.0	356.0	8.20412657e-01	7.89329478e+02
35.0	356.5	8.30154045e-01	7.98701791e+02
35.0	357.0	8.40145310e-01	8.08314515e+02
35.0	357.5	8.50393497e-01	8.18174427e+02
35.0	358.0	8.60905924e-01	8.28288566e+02
35.0	358.5	8.71690190e-01	8.38664246e+02
35.0	359.0	8.82754194e-01	8.49309065e+02
35.0	359.5	8.94106138e-01	8.60230916e+02
35.0	360.0	9.05754543e-01	8.71437995e+02
35.0	360.5	9.17708259e-01	8.82938817e+02
35.0	361.0	9.29976474e-01	8.94742223e+02
35.0	361.5	9.42568730e-01	9.06857393e+02
35.0	362.0	9.55494932e-01	9.19293857e+02
35.0	362.5	9.68765361e-01	9.32061505e+02
35.0	363.0	9.82390681e-01	9.45170600e+02
35.0	363.5	9.96381956e-01	9.58631784e+02
35.0	364.0	1.01075065e+00	9.72456091e+02
35.0	364.5	1.02550866e+00	9.86654957e+02
35.0	365.0	1.04066828e+00	1.00124022e+03
35.0	365.5	1.05624226e+00	1.01622415e+03
35.0	366.0	1.07224377e+00	1.03161940e+03
35.0	366.5	1.08868642e+00	1.04743909e+03
35.0	367.0	1.10558427e+00	1.06369672e+03
35.0	367.5	1.12295180e+00	1.08040625e+03
35.0	368.0	1.14080394e+00	1.09758202e+03
35.0	368.5	1.15915602e+00	1.11523878e+03
35.0	369.0	1.17802378e+00	1.13339170e+03
35.0	369.5	1.19742334e+00	1.15205627e+03
35.0	370.0	1.21737120e+00	1.17124835e+03
35.0	370.5	1.23788414e+00	1.19098412e+03
35.0	371.0	1.25897926e+00	1.21128000e+03
35.0	371.5	1.28067385e+00	1.23215264e+03
35.0	372.0	1.30298539e+00	1.25361885e+03
35.0	372.5	1.32593144e+00	1.27569555e+03
35.0	373.0	1.34952959e+00	1.29839962e+03
35.0	373.5	1.37379733e+00	1.32174793e+03
35.0	374.0	1.39875197e+00	1.34575711e+03
35.0	374.5	1.42441054e+00	1.37044354e+03
35.0	375.0	1.45078962e+00	1.39582319e+03
35.0	375.5	1.47790527e+00	1.42191150e+03
35.0	376.0	1.50577286e+00	1.44872326e+03
35.0	376.5	1.53440697e+00	1.47627251e+03
35.0	377.0	1.56382126e+00	1.50457238e+03
35.0	377.5	1.59402839e+00	1.53363504e+03
35.0	378.0	1.62503994e+00	1.56347165e+03
35.0	378.5	1.65686639e+00	1.59409228e+03
35.0	379.0	1.68951716e+00	1.62550600e+03
35.0	379.5	1.72300070e+00	1.65772094e+03
35.0	380.0	1.75732469e+00	1.69074449e+03
35.0	380.5	1.79249633e+00	1.72458358e+03
35.0	381.0	1.82852272e+00	1.75924502e+03
35.0	381.5	1.86541136e+00	1.79473605e+03
35.0	382.0	1.90317080e+00	1.83106489e+03
35.0	382.5	1.94181135e+00	1.86824146e+03
35.0	383.0	1.98134588e+00	1.90627813e+03
35.0	383.5	2.02179073e+00	1.94519064e+03
35.0	384.0	2.06316658e+00	1.98499887e+03
35.0	384.5	2.10549934e+00	2.02572776e+03
35.0	385.0	2.14882099e+00	2.06740807e+03
35.0	385.5	2.19317023e+00	2.11007704e+03
35.0	386.0	2.23859307e+00	2.15377894e+03
35.0	386.5	2.28514316e+00	2.19856537e+03
35.0	387.0	2.33288190e+00	2.24449542e+03
35.0	387.5	2.38187836e+00	2.29163554e+03
35.0	388.0	2.43220897e+00	2.34005926e+03
35.0	388.5	2.48395695e+00	2.38984665e+03
35.0	389.0	2.53721165e+00	2.44108367e+03
35.0	389.5	2.59206774e+00	2.49386142e+03
35.0	390.0	2.64862431e+00	2.54827522e+03
35.0	390.5	2.70698395e+00	2.60442377e+03
35.0	391.0	2.76725184e+00	2.66240828e+03
35.0	391.5	2.82953492e+00	2.72233162e+03
35.0	392.0	2.89394102e+00	2.78429756e+03
35.0	392.5	2.96057826e+00	2.84841009e+03
35.0	393.0	3.02955434e+00	2.91477285e+03
35.0	393.5	3.10097604e+00	2.98348859e+03
35.0	394.0	3.17494876e+00	3.05465868e+03
35.0	394.5	3.25157607e+00	3.12838279e+03
35.0	395.0	3.33095933e+00	3.20475844e+03
