material	diameter_nm	peak_nm	cabs_nm2
Ag_visible	17.5	400.00	1.136365e+03
Ag_visible	18.0	400.00	1.241232e+03
Ag_visible	18.5	400.00	1.352234e+03
Ag_visible	19.0	400.00	1.469445e+03
Ag_visible	19.5	400.00	1.592912e+03
Ag_visible	20.0	400.00	1.722652e+03
Ag_visible	20.5	400.00	1.858647e+03
Ag_visible	21.0	400.00	2.000844e+03
Ag_visible	21.5	400.00	2.149153e+03
Ag_visible	22.0	400.00	2.303441e+03
Ag_visible	22.5	400.00	2.463532e+03
Ag_visible	23.0	400.00	2.629207e+03
Ag_visible	23.5	400.00	2.800199e+03
Ag_visible	24.0	400.00	2.976195e+03
Ag_visible	24.5	400.00	3.156836e+03
Ag_visible	25.0	400.00	3.341718e+03
Ag_visible	25.5	400.00	3.530390e+03
Ag_visible	26.0	400.00	3.722362e+03
Ag_visible	26.5	400.00	3.917101e+03
Ag_visible	27.0	400.00	4.114043e+03
Ag_visible	27.5	400.00	4.312591e+03
Ag_visible	28.0	400.00	4.512121e+03
Ag_visible	28.5	400.00	4.711992e+03
Ag_visible	29.0	400.50	4.914303e+03
Ag_visible	29.5	401.00	5.118101e+03
Ag_visible	30.0	401.00	5.324335e+03
Ag_visible	30.5	401.50	5.532315e+03
Ag_visible	31.0	402.00	5.740951e+03
Ag_visible	31.5	402.00	5.950319e+03
Ag_visible	32.0	402.50	6.161352e+03
Ag_visible	32.5	403.00	6.372160e+03
Ag_visible	33.0	403.50	6.582439e+03
Ag_visible	33.5	403.50	6.792411e+03
Ag_visible	34.0	404.00	7.002579e+03
Ag_visible	34.5	404.50	7.211318e+03
Ag_visible	35.0	405.00	7.418336e+03
Ag_visible	35.5	405.50	7.623346e+03
Ag_visible	36.0	405.50	7.827036e+03
Ag_visible	36.5	406.00	8.028766e+03
Ag_visible	37.0	406.50	8.227627e+03
Ag_visible	37.5	407.00	8.423358e+03
Ag_visible	38.0	407.50	8.615709e+03
Ag_visible	38.5	408.00	8.804438e+03
Ag_visible	39.0	408.00	8.989889e+03
Ag_visible	39.5	408.50	9.171834e+03
Ag_visible	40.0	409.00	9.349429e+03
Ag_visible	40.5	409.50	9.522476e+03
Ag_visible	41.0	410.00	9.690788e+03
Ag_visible	41.5	410.50	9.854191e+03
Ag_visible	42.0	411.00	1.001253e+04
Ag_visible	42.5	411.50	1.016564e+04
Ag_visible	43.0	412.00	1.031341e+04
Ag_visible	43.5	412.50	1.045570e+04
Ag_visible	44.0	413.00	1.059242e+04
Ag_visible	44.5	413.00	1.072351e+04
Ag_visible	45.0	413.50	1.084912e+04
Ag_visible	45.5	414.00	1.096883e+04
Ag_visible	46.0	414.50	1.108261e+04
Ag_visible	46.5	415.00	1.119039e+04
Ag_visible	47.0	415.50	1.129217e+04
Ag_visible	47.5	416.00	1.138792e+04
Ag_visible	48.0	416.50	1.147764e+04
Ag_visible	48.5	417.00	1.156134e+04
Ag_visible	49.0	417.50	1.163905e+04
Ag_visible	49.5	418.00	1.171080e+04
Ag_visible	50.0	418.50	1.177663e+04
Ag_visible	50.5	419.50	1.183666e+04
Ag_visible	51.0	420.00	1.189115e+04
Ag_visible	51.5	420.50	1.193994e+04
Ag_visible	52.0	421.00	1.198312e+04
Ag_visible	52.5	421.50	1.202077e+04
Ag_visible	53.0	422.00	1.205298e+04
Ag_visible	53.5	422.50	1.207986e+04
Ag_visible	54.0	423.00	1.210152e+04
Ag_visible	54.5	423.50	1.211806e+04
Ag_visible	55.0	424.00	1.212962e+04
Ag_visible	55.5	424.50	1.213632e+04
Ag_visible	56.0	425.00	1.213829e+04
Ag_visible	56.5	425.50	1.213565e+04
Ag_visible	57.0	426.50	1.212867e+04
Ag_visible	57.5	427.00	1.211785e+04
Ag_visible	58.0	427.50	1.210285e+04
Ag_visible	58.5	428.00	1.208380e+04
Ag_visible	59.0	428.50	1.206085e+04
Ag_visible	59.5	429.00	1.203415e+04
Ag_visible	60.0	429.50	1.200384e+04
Ag_visible	60.5	430.00	1.197008e+04
Ag_visible	61.0	431.00	1.193318e+04
Ag_visible	61.5	431.50	1.189353e+04
Ag_visible	62.0	432.00	1.185084e+04
Ag_visible	62.5	432.50	1.180526e+04
Ag_visible	63.0	433.00	1.175691e+04
Ag_visible	63.5	433.50	1.170595e+04
Ag_visible	64.0	434.00	1.165252e+04
Ag_visible	64.5	435.00	1.159714e+04
Ag_visible	65.0	435.50	1.153970e+04
Ag_visible	65.5	436.00	1.148016e+04
Ag_visible	66.0	436.50	1.141864e+04
Ag_visible	66.5	437.00	1.135529e+04
Ag_visible	67.0	437.50	1.129022e+04
Ag_visible	67.5	438.50	1.122392e+04
