Frequency,Absorption
1.5034669192220738,0.006587629948591207
1.52055177057687,0.006982335316700198
1.5376366219316664,0.007455686519262648
1.5547214732864625,0.008015308723005012
1.5718063246412588,0.008670818328214952
1.5888911759960551,0.009434234270316456
1.6059760273508514,0.01032051441975833
1.6230608787056477,0.011348259137556965
1.640145730060444,0.012540642689226437
1.6572305814152402,0.013926648940036762
1.6743154327700365,0.015542714669771135
1.6914002841248328,0.017434915482602776
1.708485135479629,0.019661836100802306
1.7255699868344259,0.022298207806001204
1.7426548381892222,0.025439199578536145
1.7597396895440185,0.029204905159615113
1.7768245408988144,0.03374475226446324
1.7939093922536107,0.03924467186129882
1.810994243608407,0.04594733986221829
1.8280790949632033,0.054196959344542196
1.8451639463179996,0.06450428236337087
1.862248797672796,0.0776321451960609
1.8793336490275923,0.09474147556053585
1.8964185003823886,0.11764592131485571
1.9135033517371849,0.1492343001327058
1.9305882030919812,0.19420997118325034
1.9476730544467773,0.2603914471671762
1.9647579058015736,0.3606442285439415
1.98184275715637,0.5135948460922298
1.998927608511166,0.7310960512475753
2.016012459865962,0.9563108967734426
2.033097311220759,1.0
2.050182162575555,0.791160543020564
2.0672670139303517,0.5274571775931953
2.084351865285148,0.33265336182438987
2.1014367166399444,0.20702246048945117
2.1185215679947405,0.12557604661056085
2.135606419349537,0.0696935096186164
2.1526912707043326,0.02845247635833698
2.169776122059129,-0.004152836420812976
2.1868609734139253,-0.03127087397447326
2.203945824768722,-0.05441532975876461
2.221030676123518,-0.07419217398118336
2.2381155274783144,-0.09074661909973579
2.2552003788331105,-0.10404053646382254
2.2722852301879066,-0.11402128433603458
2.289370081542703,-0.1207185783254081
2.3064549328974993,-0.12429050889596042
2.323539784252296,-0.12503056730502413
2.340624635607092,-0.12334489297919998
2.3577094869618884,-0.11971044306706587
2.3747943383166845,-0.11462627865977129
2.391879189671481,-0.10856900198387635
2.408964041026277,-0.10195963813056487
2.4260488923810737,-0.0951446628338806
2.44313374373587,-0.08839012789960858
