Frequency,Absorption,Re_alpha_m_eff,Im_alpha_m_eff
1.5,0.0032195218680838578,0.0784919592035069,0.005441458391472111
1.5008752188047012,0.0032314333255426433,0.07859259276921143,0.0054584056141146154
1.5017504376094024,0.003243400743220256,0.07869353314149967,0.005475427553738747
1.5026256564141036,0.003255424456242059,0.0787947816496079,0.005492524645206306
1.5035008752188046,0.003267504802191132,0.07889633963039175,0.005509697326510755
1.5043760940235058,0.0032796421211296533,0.07899820842838008,0.005526946038804131
1.505251312828207,0.0032918367556204957,0.07910038939582958,0.005544271226424247
1.5061265316329082,0.0033040890507490413,0.07920288389277959,0.005561673336922147
1.5070017504376094,0.0033163993541451987,0.0793056932871074,0.00557915282108982
1.5078769692423106,0.003328768016005678,0.07940881895458415,0.005596710132988244
1.5087521880470118,0.003341195389116458,0.07951226227893111,0.005614345729975657
1.5096274068517128,0.0033536818288755032,0.07961602465187648,0.005632060072736148
1.510502625656414,0.0033662276933157033,0.07972010747321265,0.005649853625308525
1.5113778444611152,0.00337883334312804,0.0798245121508539,0.005667726855115459
1.5122530632658164,0.003391499141685,0.07992924010089465,0.00568568023299295
1.5131282820705176,0.0034042254550642266,0.08003429274766827,0.005703714233220071
1.5140035008752188,0.0034170126520724113,0.08013967152380622,0.005721829333549036
1.51487871967992,0.003429861104269419,0.08024537787029788,0.005740026015235532
1.5157539384846213,0.003442771185992678,0.08035141323655072,0.005758304763069404
1.5166291572893222,0.00345574327438181,0.0804577790804512,0.005776666065405627
1.5175043760940234,0.0034687777494035238,0.0805644768684259,0.005795110414195609
1.5183795948987246,0.003481874993876739,0.08067150807550351,0.005813638305018788
1.5192548137034259,0.0034950353934980107,0.08077887418537712,0.005832250237114594
1.520130032508127,0.003508259336867171,0.08088657669046705,0.005850946713414684
1.5210052513128283,0.0035215472155132677,0.08099461709198436,0.005869728240575553
1.5218804701175295,0.003534899423920761,0.08110299689999484,0.005888595329011464
1.5227556889222305,0.0035483163595559906,0.08121171763348348,0.005907548492927708
1.5236309077269317,0.003561798422893926,0.08132078082041974,0.005926588250354233
1.5245061265316329,0.003575346017445169,0.081430187997823,0.00594571512317957
1.525381345336334,0.00358895954978328,0.08153994071182892,0.005964929637185173
1.5262565641410353,0.003602639429572344,0.08165004051775618,0.005984232322080053
1.5271317829457365,0.00361638606959486,0.081760488980174,0.00600362371153582
1.5280070017504377,0.0036301998857799053,0.08187128767297001,0.0060231043432220676
1.528882220555139,0.0036440812972315896,0.0819824381794189,0.006042674758842103
1.5297574393598399,0.0036580307262578213,0.08209394209225147,0.006062335504169096
1.530632658164541,0.0036720485983993746,0.08220580101372463,0.00608208712908257
1.5315078769692423,0.003686135342459242,0.08231801655569157,0.006101930187605277
1.5323830957739435,0.0037002913905323275,0.082430590339673,0.006121865237940475
1.5332583145786447,0.0037145171780354237,0.08254352399692858,0.006141892842509573
1.534133533383346,0.0037288131437375237,0.08265681916852928,0.006162013567990184
1.535008752188047,0.0037431797297904535,0.08277047750543044,0.006182227985354589
1.535883970992748,0.00375761738175981,0.08288450066854498,0.006202536669908565
1.5367591897974493,0.0037721265486562574,0.08299889032881802,0.006222940201330675
1.5376344086021505,0.003786707682967125,0.08311364816730138,0.006243439163711921
1.5385096274068517,0.0038013612406883686,0.08322877587522944,0.006264034145595864
1.539384846211553,0.0038160876813568426,0.08334427515409495,0.0062847257400191125
1.5402600650162541,0.0038308874680829485,0.08346014771572632,0.006305514544552295
1.5411352838209553,0.003845761067583606,0.0835763952823649,0.006326401161341423
1.5420105026256563,0.003860708950215599,0.08369301958674329,0.0063473861971497375
1.5428857214303575,0.0038757315900092627,0.08381002237216448,0.006368470263399956
1.5437609402350587,0.0038908294647025253,0.08392740539258121,0.006389653976216979
1.54463615903976,0.003906003055775357,0.08404517041267665,0.006410937956471102
1.5455113778444611,0.0039212528484845206,0.08416331920794519,0.006432322829821588
1.5463865966491623,0.003936579331898772,0.08428185356477455,0.0064538092267608215
1.5472618154538635,0.003951982998934383,0.08440077528052817,0.006475397782658844
1.5481370342585645,0.003967464346391078,0.08452008616362854,0.0064970891378084185
1.5490122530632657,0.003983023874988369,0.08463978803364142,0.006518883937470588
1.549887471867967,0.003998662089402225,0.08475988272136036,0.006540782831920633
1.5507626906726681,0.004014379498302227,0.08488037206889253,0.006562786476494654
1.5516379094773693,0.004030176614389058,0.085001257929745,0.006584895531636571
1.5525131282820706,0.004046053954432422,0.08512254216891187,0.006607110662945627
1.5533883470867718,0.004062012039309411,0.08524422666296227,0.006629432541224494
1.554263565891473,0.004078051394043222,0.085366313300129,0.006651861842527773
1.555138784696174,0.004094172547842354,0.08548880398039814,0.006674399248211115
1.5560140035008752,0.004110376034140231,0.0856117006155995,0.006697045444980866
1.5568892223055764,0.004126662390635219,0.0857350051294976,0.006719801124944198
1.5577644411102776,0.004143032159331122,0.08585871945788386,0.0067426669856598355
1.5586396599149788,0.004159485886578117,0.08598284554866946,0.00676564373018934
1.55951487871968,0.004176024123114116,0.08610738536197887,0.006788732067148903
1.5603900975243812,0.004192647424106631,0.08623234087024484,0.006811932710761788
1.5612653163290822,0.004209356349195037,0.08635771405830331,0.006835246380911245
1.5621405351337834,0.004226151462533392,0.08648350692349031,0.006858673803194145
1.5630157539384846,0.004243033332833616,0.08660972147573874,0.006882215708975022
1.5638909727431858,0.0042600025334092705,0.08673635973767667,0.0069058728354409035
1.564766191547887,0.004277059642219724,0.08686342374472637,0.006929645925656586
1.5656414103525882,0.004294205241914891,0.0869909155452043,0.006953535728620642
1.5665166291572894,0.004311439919880407,0.08711883720042182,0.00697754299932197
1.5673918479619906,0.004328764268283348,0.08724719078478725,0.0070016684987970045
1.5682670667666916,0.004346178884118431,0.08737597838590833,0.0070259129941875375
1.5691422855713928,0.004363684369254778,0.08750520210469627,0.00705027725879924
1.570017504376094,0.004381281330483154,0.08763486405547025,0.007074762072160765
1.5708927231807952,0.004398970379563759,0.08776496636606296,0.007099368220083542
1.5717679419854964,0.004416752133274567,0.08789551117792761,0.00712409649472225
1.5726431607901976,0.004434627213460207,0.0880265006462453,0.007148947694635967
1.5735183795948988,0.0044525962470813646,0.08815793694003378,0.007173922624849961
1.5743935983995998,0.004470659866264799,0.08828982224225712,0.007199022096918246
1.575268817204301,0.004488818708353884,0.08842215874993654,0.007224246928986797
1.5761440360090022,0.00450707341595972,0.08855494867426202,0.007249597945857453
1.5770192548137034,0.0045254246370128705,0.0886881942407052,0.00727507597905262
1.5778944736184046,0.004543873024815638,0.08882189768913334,0.007300681866880628
1.5787696924231058,0.004562419238094961,0.08895606127392418,0.007326416454501869
1.579644911227807,0.004581063941055918,0.08909068726408201,0.007352280593995669
1.580520130032508,0.004599807803435825,0.08922577794335487,0.007378275144427923
1.5813953488372092,0.004618651500558987,0.08936133561035302,0.0074044009719195225
1.5822705676419104,0.004637595713392037,0.08949736257866796,0.007430658949715521
1.5831457864466116,0.004656641128599924,0.08963386117699323,0.007457049958255099
1.5840210052513128,0.004675788438602563,0.08977083374924612,0.00748357488524235
1.584896224056014,0.004695038341632129,0.08990828265469038,0.007510234625717875
1.5857714428607153,0.004714391541791002,0.09004621026806042,0.0075370300821311735
1.5866466616654162,0.004733848749110385,0.09018461897968648,0.0075639621644138745
1.5875218804701174,0.00475341067960964,0.09032351119562114,0.007591031790053859
1.5883970992748186,0.00477307805535622,0.09046288933776675,0.007618239884170115
1.5892723180795199,0.004792851604526406,0.09060275584400462,0.007645587379588603
1.590147536884221,0.004812732061466681,0.09074311316832491,0.007673075216918891
1.5910227556889223,0.004832720166755841,0.09088396378095819,0.007700704344631734
1.5918979744936235,0.0048528166672678315,0.09102531016850796,0.0077284757191375154
1.5927731932983247,0.00487302231623532,0.09116715483408472,0.007756390304865642
1.5936484121030257,0.004893337873314004,0.09130950029744114,0.007784449074344804
1.5945236309077269,0.004913764104647695,0.09145234909510874,0.007812653008284253
1.595398849712428,0.00493430178293413,0.09159570378053557,0.007841003095655918
1.5962740685171293,0.004954951687491602,0.0917395669242257,0.007869500333777596
1.5971492873218305,0.0049757146043263424,0.09188394111387964,0.007898145728397032
1.5980245061265317,0.004996591326200713,0.09202882895453646,0.007926940293777029
1.598899724931233,0.005017582652702212,0.09217423306871707,0.007955885052781546
1.5997749437359339,0.005038689390313273,0.092320156096569,0.00798498103696279
1.600650162540635,0.0050599123524819375,0.09246660069601279,0.008014229286649402
1.6015253813453363,0.005081252359693302,0.09261356954288928,0.008043630851035568
1.6024006001500375,0.005102710239541871,0.09276106533110899,0.00807318678827129
1.6032758189547387,0.00512428682680475,0.0929090907728027,0.00810289816555367
1.60415103775944,0.005145982963515726,0.09305764859847326,0.008132766059219311
1.605026256564141,0.005167799499040218,0.09320674155714945,0.008162791554837793
1.6059014753688423,0.005189737290151126,0.09335637241654092,0.00819297574730624
1.6067766941735433,0.005211797201105613,0.09350654396319483,0.00822331974094508
1.6076519129782445,0.0052339801037227865,0.09365725900265412,0.008253824649594883
1.6085271317829457,0.005256286877462333,0.09380852035961719,0.008284491596714409
1.609402350587647,0.005278718409504059,0.09396033087809925,0.008315321715479749
1.6102775693923481,0.005301275594828489,0.0941126934215955,0.008346316148884803
1.6111527881970493,0.005323959336298307,0.09426561087324542,0.008377476049842777
1.6120280070017505,0.005346770544740915,0.0944190861359993,0.008408802581289085
1.6129032258064515,0.005369710139031887,0.09457312213278599,0.008440296916285336
1.6137784446111527,0.005392779046179537,0.09472772180668275,0.00847196023812473
1.614653663415854,0.0054159782014104145,0.09488288812108636,0.008503793740438572
1.6155288822205551,0.0054393085482559115,0.09503862405988611,0.008535798627304171
1.6164041010252563,0.005462771038639946,0.09519493262763895,0.008567976113354085
1.6172793198299575,0.005486366632967645,0.09535181684974575,0.008600327423886582
1.6181545386346587,0.005510096300215167,0.09550927977262981,0.00863285379497753
1.61902975743936,0.005533961018020638,0.09566732446391703,0.008665556473593647
1.619904976244061,0.0055579617727761505,0.09582595401261776,0.008698436717707071
