Frequency,Absorption
1.5034669192220738,-0.01140309115423672
1.52055177057687,-0.011920113697822038
1.5376366219316664,-0.012449568099788163
1.5547214732864625,-0.012990028208612829
1.5718063246412588,-0.013539247691183314
1.5888911759960551,-0.01409391728918664
1.6059760273508514,-0.014649319752836858
1.6230608787056477,-0.015198883711380107
1.640145730060444,-0.015733565342072795
1.6572305814152402,-0.016241029306245436
1.6743154327700365,-0.016704523047284602
1.6914002841248328,-0.017101358644723175
1.708485135479629,-0.017400833748491423
1.7255699868344259,-0.017561399434493783
1.7426548381892222,-0.017526769346652142
1.7597396895440185,-0.01722045781062437
1.7768245408988144,-0.01653759137963801
1.7939093922536107,-0.01533148151873421
1.810994243608407,-0.013390530044985437
1.8280790949632033,-0.010400258160491874
1.8451639463179996,-0.005884579536174588
1.862248797672796,0.000883867436078445
1.8793336490275923,0.011024233467565878
1.8964185003823886,0.026284048430499092
1.9135033517371849,0.04946939604941007
1.9305882030919812,0.0852556464194505
1.9476730544467773,0.14169992768845185
1.9647579058015736,0.23278989438762462
1.98184275715637,0.38093768833051
1.998927608511166,0.6086619868853226
2.016012459865962,0.8786555734134425
2.033097311220759,1.0
2.050182162575555,0.8471243645858186
2.0672670139303517,0.5936340674136457
2.084351865285148,0.3856303196799173
2.1014367166399444,0.240437578730614
2.1185215679947405,0.13891703097595182
2.135606419349537,0.0637842301973272
2.1526912707043326,0.004145058687809502
2.169776122059129,-0.04626100846255899
2.1868609734139253,-0.09080586581108245
2.203945824768722,-0.13108366546836567
2.221030676123518,-0.16759445729540579
2.2381155274783144,-0.20019172138793662
2.2552003788331105,-0.2284017500548246
2.2722852301879066,-0.25166829248487893
2.289370081542703,-0.2695418197496179
2.3064549328974993,-0.28181142230888884
2.323539784252296,-0.28857010139799383
2.340624635607092,-0.29021125715302803
2.3577094869618884,-0.2873687746181683
2.3747943383166845,-0.28082503747629933
2.391879189671481,-0.2714138883179062
2.408964041026277,-0.25993926982454296
2.4260488923810737,-0.24711982912954863
2.44313374373587,-0.2335602073063145
2.4602185950906663,-0.2197438046711304
2.4773034464454624,-0.20603973852784702
2.494388297800259,-0.19271730497920142
2.511473149155055,-0.17996305648933889
2.5285580005098516,-0.16789752809926609
2.5456428518646472,-0.1565901477331041
2.5627277032194438,-0.1460718266272317
2.57981255457424,-0.13634524133221726
2.5968974059290364,-0.1273930420249522
2.6139822572838325,-0.11918428799860391
2.631067108638629,-0.11167940510126637
2.648151959993425,-0.10483392972081898
2.665236811348222,-0.09860126875969638
2.682321662703018,-0.09293467268056778
2.6994065140578143,-0.08778858918361325
2.7164913654126104,-0.08311953878950673
2.733576216767407,-0.07888662924116775
2.750661068122203,-0.0750518040075447
2.767745919476999,-0.07157990074996433
2.7848307708317956,-0.06843857897912961
2.8019156221865917,-0.0655981621915025
2.8190004735413883,-0.06303142855071354
2.836085324896185,-0.060713375314141706
2.853170176250981,-0.05862097544208805
2.8702550276057774,-0.05673293989876643
2.8873398789605735,-0.0550294953912721
2.9044247303153696,-0.05349218465191462
2.9215095816701657,-0.052103694310012105
2.9385944330249623,-0.05084771386790364
2.9556792843797584,-0.04970882776497199
2.972764135734555,-0.04867244124722111
2.989848987089351,-0.04772473930931124
3.0069338384441475,-0.04685267640578407
3.0240186897989436,-0.04604399323214351
3.04110354115374,-0.04528725521384489
3.0581883925085362,-0.04457190619034501
3.075273243863333,-0.04388832978120348
3.092358095218129,-0.04322791043413551
3.109442946572925,-0.042583086364166294
3.126527797927722,-0.04194738739284972
3.1436126492825176,-0.04131545207806552
3.1606975006373146,-0.0406830203986098
3.1777823519921102,-0.04004690045005934
3.194867203346907,-0.03940490979432617
3.211952054701703,-0.03875579400011494
3.2290369060564994,-0.03809912665560457
