root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.476300	276.9792	3.36849000e-05	yes
2	singlet	8.170000	151.7554	3.06034006e-02	yes
3	singlet	8.753200	141.6444	5.04529010e-03	yes
4	singlet	8.922900	138.9506	6.86517194e-02	yes
5	singlet	8.933500	138.7857	6.27893100e-04	yes
6	singlet	9.235900	134.2416	2.16581551e-02	yes
7	singlet	9.485400	130.7106	4.81425211e-02	yes
8	singlet	9.603500	129.1031	6.68674870e-03	yes
9	singlet	9.625000	128.8147	9.53563117e-02	yes
10	singlet	10.009200	123.8702	1.33471092e-02	no
11	singlet	10.015700	123.7898	1.59586200e-04	no
12	singlet	10.246500	121.0015	1.18289601e-02	no
13	singlet	10.333500	119.9828	3.80428390e-03	no
14	singlet	10.478700	118.3202	7.45590982e-02	no
15	singlet	10.703600	115.8341	1.43739877e-01	no
16	singlet	10.716600	115.6936	3.04851790e-02	no
17	singlet	10.857800	114.1891	4.55954866e-02	no
18	singlet	10.888300	113.8692	2.66799800e-03	no
19	singlet	10.937200	113.3601	3.27430903e-02	no
20	singlet	11.105800	111.6391	8.01881000e-05	no
21	singlet	11.109300	111.6040	9.46606260e-03	no
22	singlet	11.237400	110.3317	3.04881931e-02	no
23	singlet	11.347900	109.2574	1.31175899e-01	no
24	singlet	11.404200	108.7180	3.28314170e-01	no
25	singlet	11.513400	107.6869	5.28358821e-02	no
26	singlet	11.560600	107.2472	1.88636330e-01	no
27	singlet	11.620900	106.6907	1.32393868e-02	no
28	singlet	11.791200	105.1498	7.84649005e-02	no
29	singlet	11.796700	105.1007	4.62355063e-02	no
30	singlet	11.912800	104.0764	3.06675474e-01	no
