Frequency_eV,P_bar,A_diss
1.5034669328132528,3.602664852424646e-08,6.607376461296526e-09
1.5205517843224943,5.069329424792011e-08,9.297275569051612e-09
1.537636635831736,7.170671228359487e-08,1.31511884193368e-08
1.5547214873409771,1.0190286754684097e-07,1.8689237993216794e-08
1.5718063388502188,1.454042787382017e-07,2.6667504418569502e-08
1.5888911903594602,2.0821113868002903e-07,3.818643790216246e-08
1.6059760418687017,2.990698401482078e-07,5.4850148515731646e-08
1.6230608933779433,4.307538419941594e-07,7.900132021133605e-08
1.6401457448871848,6.219611199107077e-07,1.1406920798569042e-07
1.6572305963964262,9.001392188893313e-07,1.6508775948937948e-07
1.6743154479056677,1.3057150334394177e-06,2.3947136718260876e-07
1.691400299414909,1.8984669880898395e-06,3.481835420025568e-07
1.7084851509241508,2.7671865030639694e-06,5.075088500684994e-07
1.7255700024333926,4.044419457724624e-06,7.41756533544728e-07
1.742654853942634,5.92910212191328e-06,1.0874119964444431e-06
1.7597397054518755,8.721594549794781e-06,1.5995620157257315e-06
1.7768245569611167,1.2878687281044816e-05,2.3619831063637447e-06
1.7939094084703584,1.9102443200056303e-05,3.503435338104237e-06
1.8109942599795998,2.848922153620965e-05,5.2249937057655e-06
1.8280791114888413,4.278565380550959e-05,7.846994750162351e-06
1.845163962998083,6.483225400621755e-05,1.189039576537849e-05
1.8622488145073244,9.935374810441398e-05,1.8221723181518732e-05
1.8793336660165658,0.00015442414405643587,2.832177003108284e-05
1.8964185175258075,0.0002442598704345382,4.479786448251819e-05
1.913503369035049,0.00039471459124025543,7.239163246994521e-05
1.9305882205442906,0.0006545174914469682,0.00012004012706269361
1.947673072053532,0.001118886477428667,0.00020520654783776597
1.9647579235627735,0.0019783534558912392,0.0003628349178187626
1.9818427750720151,0.0036043815009297775,0.000661052483712102
1.9989276265812561,0.006584843623148263,0.001207676609930188
2.0160124780904978,0.011104701839611859,0.002036629787957838
2.0330973295997397,0.015068127252231642,0.0027635318132690086
2.050182181108981,0.015614553857937384,0.0028637478044938485
2.0672670326182225,0.013824600225149702,0.0025354658802917156
2.084351884127464,0.011827448412881724,0.002169183297410489
2.101436735636706,0.010336848841971578,0.001895803648692349
2.1185215871459473,0.009359156070632549,0.0017164923758333816
2.1356064386551887,0.008764834528610103,0.0016074923348065927
2.1526912901644297,0.008435287462124495,0.0015470525875866735
2.1697761416736716,0.00827966568214143,0.0015185111681639612
2.186860993182913,0.008228494865221692,0.0015091263137556126
2.2039458446921545,0.008227304711790078,0.0015089080366720786
2.221030696201396,0.008233039135531882,0.0015099597441720195
2.2381155477106374,0.008212382519111694,0.0015061712696206628
2.255200399219879,0.008141085218876182,0.0014930951683837393
2.2722852507291207,0.008003734471321251,0.0014679047015068343
2.289370102238362,0.00779356432956598,0.0014293589775945326
2.3064549537476036,0.007511923753703153,0.0013777053992648795
2.323539805256845,0.007167128283490471,0.0013144690570802415
2.3406246567660864,0.006772661675058311,0.0012421229052707555
2.3577095082753283,0.006344962043127967,0.0011636817347405624
2.3747943597845698,0.005901181089864602,0.0010822912100962657
2.391879211293811,0.005457288580913905,0.0010008802258629486
2.4089640628030526,0.0050267540651567945,0.0009219191306260519
2.426048914312294,0.004619863845216768,0.0008472944577327597
2.443133765821536,0.004243593906148217,0.0007782856200990897
2.4602186173307774,0.003901886274918217,0.0007156155952225049
2.477303468840019,0.0035961611458365165,0.0006595448502526598
2.4943883203492603,0.0033259196706087383,0.0006099818951783253
2.5114731718585017,0.003089331794966905,0.0005665910935196052
2.528558023367743,0.0028837452546980613,0.0005288860134587295
2.5456428748769846,0.002706087231463788,0.0004963030925109596
2.562727726386226,0.0025531556861335806,0.00046825506877862575
2.5798125778954675,0.0024218128744768063,0.0004441664722077454
2.596897429404709,0.0023091007358940936,0.00042349478716680717
2.613982280913951,0.0022122991098745635,0.00040574112948904095
2.6310671324231922,0.0021289455274906863,0.00039045387628153515
2.6481519839324337,0.0020568315399913137,0.00037722799258011597
2.6652368354416756,0.001993986535802641,0.0003657020633472912
2.682321686950917,0.0019386563687260549,0.00035555437383086574
2.699406538460158,0.001889281305254766,0.0003464988650472594
2.7164913899694,0.0018444757635213051,0.00033828141785435535
2.7335762414786413,0.0018030109553725708,0.0003306766694651252
2.7506610929878827,0.0017638007080274377,0.0003234854131045596
2.7677459444971237,0.0017258902967150621,0.0003165325498879082
2.7848307960063656,0.0016884478797048795,0.0003096655179839933
2.801915647515607,0.0016507580502776891,0.0003027531100307557
2.819000499024849,0.0016122170021412754,0.00029568458646051995
2.836085350534091,0.0015723288341168377,0.00028836899777034427
2.853170202043332,0.0015307025469698614,0.0002807346337333732
2.8702550535525737,0.0014870493128290242,0.00027272852260351024
2.887339905061815,0.0014411796417024873,0.00026431591144749565
2.9044247565710566,0.0013930000943643242,0.00025547966328014665
2.9215096080802976,0.0013425092135487737,0.0002462195108353176
2.9385944595895395,0.0012897924092905074,0.00023655111852465287
2.9556793110987805,0.001235015574961026,0.0002265049116028691
2.9727641626080223,0.0011784172839344753,0.00021612464501696233
2.989849014117264,0.0011202995170584453,0.00020546570280141434
3.0069338656265057,0.001061016971711256,0.00019459313733285184
3.0240187171357467,0.001000965124467964,0.00018357947999346155
3.0411035686449885,0.0009405673346725747,0.0001725023759342313
3.05818842015423,0.000880261400815374,0.00016144211848129615
3.075273271663472,0.0008204860555453828,0.0001504791722878138
3.092358123172713,0.0007616679405178909,0.00013969178448878153
3.1094429746819543,0.0007042096175009968,0.00012915378590831712
3.126527826191196,0.0006484791178644013,0.00011893267441005191
3.1436126777004376,0.0005948014481787334,0.00010908805700303345
3.1606975292096795,0.0005434523429982672,9.967050408662189e-05
3.1777823807189205,0.0004946543982642317,9.072084030709164e-05
3.1948672322281624,0.00044857556644941206,8.226986856342876e-05
3.2119520837374034,0.0004053298423349877,7.433849578049938e-05
3.2290369352466453,0.0003649798520845142,6.693820775162287e-05
3.2461217867558867,0.0003275409726505982,6.007182464794644e-05
3.263206638265128,0.0002929865645881442,5.373446072933951e-05
3.2802914897743696,0.0002612539006393207,4.791461166154241e-05
3.297376341283611,0.00023225039882237257,4.259529768007395e-05
3.3144611927928525,0.0002058598254678691,3.775520124242419e-05
3.3315460443020943,0.00018194819786028287,3.3369749587121816e-05
3.3486308958113353,0.00016036919526863034,2.941210713013937e-05
3.365715747320577,0.00014096894937926742,2.58540540421184e-05
3.382800598829818,0.0001235901551338183,2.26667401862149e-05
3.39988545033906,0.00010807548793071891,1.9821311841315803e-05
3.4169703018483015,9.427035430613316e-05,1.7289416183723575e-05
3.434055153357543,8.202502834535472e-05,1.5043593110292326e-05
3.4511400048667853,7.119624239736475e-05,1.305756697941275e-05
3.468224856376026,6.164830709425616e-05,1.130645202534525e-05
3.485309707885268,5.3253836590081186e-05,9.766885368818632e-06
