root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.596000	221.5586	5.83000000e-08	yes
2	singlet	6.456000	192.0449	7.57800000e-07	yes
3	singlet	7.408500	167.3540	5.99492126e-01	yes
4	singlet	7.408900	167.3449	5.99887237e-01	yes
5	singlet	8.069500	153.6454	1.56000000e-08	yes
6	singlet	8.114700	152.7896	9.71777420e-03	yes
7	singlet	8.165900	151.8316	2.01200000e-06	yes
8	singlet	8.166000	151.8298	8.18080000e-06	yes
9	singlet	8.271200	149.8987	6.58600000e-07	yes
10	singlet	8.271400	149.8951	7.89000000e-07	yes
11	singlet	9.081000	136.5314	4.23826344e-02	yes
12	singlet	9.446800	131.2446	1.40000000e-07	yes
13	singlet	9.447500	131.2349	2.00200000e-07	yes
14	singlet	9.763400	126.9887	1.00000000e-10	yes
15	singlet	9.973500	124.3136	2.81000000e-08	yes
16	singlet	9.975300	124.2912	7.00000000e-10	yes
17	singlet	10.217900	121.3402	4.91000000e-08	no
18	singlet	10.237500	121.1079	2.47200000e-07	no
19	singlet	10.238600	121.0949	1.24200000e-07	no
20	singlet	10.426200	118.9160	1.82000000e-08	no
21	singlet	10.459200	118.5408	1.96000000e-08	no
22	singlet	10.459900	118.5329	1.95000000e-08	no
23	singlet	10.519900	117.8568	5.03100000e-07	no
24	singlet	10.587400	117.1054	2.63500000e-07	no
